filename,mjdtime,total_flux,e_total_flux,peak_flux,e_peak_flux
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:07.0.45GHz.J1832-1035.ITime.fits,60355.5861805,3202.57817430901,459.755228004004,2694.52644443729,222.858325602756
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:09.0.45GHz.J1832-1035.ITime.fits,60355.5862036,2817.84742298478,420.914942068205,2456.45985402316,211.317539260569
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:11.0.45GHz.J1832-1035.ITime.fits,60355.5862268,2554.4680443725,445.26480178401,2166.3670064019,222.449878073561
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:13.0.45GHz.J1832-1035.ITime.fits,60355.5862499,2924.42025743143,425.141026905236,2689.37140704671,215.082009787157
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:15.0.45GHz.J1832-1035.ITime.fits,60355.5862731,2933.12015912148,434.192343968884,2563.91295704725,209.612528234465
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:17.0.45GHz.J1832-1035.ITime.fits,60355.5862963,2958.45653889667,451.458241372784,2371.20406209348,202.876579242864
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:19.0.45GHz.J1832-1035.ITime.fits,60355.5863194,3201.44221203588,404.181569976477,2482.81350611313,183.683244434429
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:21.0.45GHz.J1832-1035.ITime.fits,60355.5863426,3136.90619423188,461.17588702609,2406.42535271218,206.192599063951
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:23.0.45GHz.J1832-1035.ITime.fits,60355.5863657,3056.93083636234,458.273564178473,2440.73248711298,211.785731039045
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:25.0.45GHz.J1832-1035.ITime.fits,60355.5863888,3290.06484895581,405.644984739282,2727.21042710871,191.063037022756
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:27.0.45GHz.J1832-1035.ITime.fits,60355.586412,3270.63186784094,497.310430983533,2664.05550143418,233.719608502695
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:29.0.45GHz.J1832-1035.ITime.fits,60355.5864351,2680.54802733981,428.973705527298,2229.21596400647,205.734279506887
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:31.0.45GHz.J1832-1035.ITime.fits,60355.5864583,3100.24332495522,375.809978776937,2560.04550134527,176.466349167587
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:33.0.45GHz.J1832-1035.ITime.fits,60355.5864815,3291.07050561686,444.74966056758,2581.8330749932,200.683087324208
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:35.0.45GHz.J1832-1035.ITime.fits,60355.5865046,3212.47444270172,460.328274761384,2636.00901641809,216.052169688615
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:37.0.45GHz.J1832-1035.ITime.fits,60355.5865277,2918.52566541478,444.58117925856,2583.9703290404,223.140784637836
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:39.0.45GHz.J1832-1035.ITime.fits,60355.5865509,2904.76958350373,468.34672401131,2587.47053425623,236.089795647709
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:41.0.45GHz.J1832-1035.ITime.fits,60355.586574,2988.44829245522,475.657329059563,2592.84359163252,229.971617862131
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:43.0.45GHz.J1832-1035.ITime.fits,60355.5865971,3197.54237078392,453.678153018563,2564.73927957353,205.529851618792
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:45.0.45GHz.J1832-1035.ITime.fits,60355.5866203,3047.60989922007,476.298995304754,2349.22672929666,210.008828953935
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:47.0.45GHz.J1832-1035.ITime.fits,60355.5866435,2569.71944780389,349.00438038205,2114.86976109592,162.745277871715
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:04:49.0.45GHz.J1832-1035.ITime.fits,60355.5866666,2673.92834293638,423.988575449279,2111.22342921451,191.222190325293
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:08.0.45GHz.G023.01-00.4.ITime.fits,60355.5868866,2365.71668649972,293.145301247541,2107.51904995932,145.1031663765
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:10.0.45GHz.G023.01-00.4.ITime.fits,60355.5869097,2239.92256229645,296.428047457225,1988.56892331872,145.773092405565
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:12.0.45GHz.G023.01-00.4.ITime.fits,60355.5869329,1941.64394380494,289.2398294464,1571.87656681227,135.380147963873
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:14.0.45GHz.G023.01-00.4.ITime.fits,60355.586956,1587.89003840782,280.722895783869,1194.60208796889,125.484031664058
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:16.0.45GHz.G023.01-00.4.ITime.fits,60355.5869792,943.007218813378,204.25843351591,931.502642521594,111.566675516858
