x,y,s
1.989300084929637,0.022784597269511205,100kyr
3.039211555833823,0.00024033742875122734,1Myr
#6.04327629870138,0.05889902089316412,100kyr
#8.454461683880142,0.00027224396085515404,1Myr
17.824191928503183,0.15032886738463513,100kyr
23.105879462034995,0.00032165428339735647,1Myr
#39.52411232824219,0.24551602852317844,100kyr
#45.78575402523553,0.00011788831239086397,1Myr
