# Z-profile-Region_1-Statistic_Mean-Coordinate_Current zsrch1uvsub_p3_hdhack.fits
# xLabel: [LSRK] Radio velocity (km/s)
# yLabel: Value (Jy/beam)
# ellipse[[250.073422pix, 260.787867pix], [7.767393pix, 3.205591pix], 343.810794deg]	
# ellipse(wcs:FK5)[[18:32:48.4007730984, -9:11:15.0095803659], [7.7673926981", 3.2055906373"], 343.810794deg]	
# x	y
929.8826210985424	4.3529689844e-2
888.0925152192971	4.0791729562e-2
846.3024093400516	4.3449207753e-2
804.5123034608395	2.9474761748e-2
762.7221975815942	3.8405909554e-2
720.9320917023155	3.6037984437e-2
679.1419858230367	3.7478529594e-2
637.3518799438248	3.5245556989e-2
595.561774064546	4.6912019250e-2
553.7716681853007	3.1755699450e-2
511.98156230605525	3.1455244809e-2
470.19145642677654	4.0665523161e-2
428.40135054753114	3.1298018242e-2
386.61124466831905	3.9306867698e-2
344.8211387890737	2.6166544852e-2
303.031032909795	3.2483393895e-2
261.24092703051633	2.4698809624e-2
219.45082115130427	3.8200899233e-2
177.66071527202558	3.1663519088e-2
135.87060939274693	2.0160430147e-2
94.08050351350155	6.7480019530e-3
52.29039763422288	2.4969553103e-2
10.500291755010775	2.8116475174e-2
-31.289814124267895	3.2871791803e-2
-73.07992000347998	3.5015312398e-2
-114.87002588269209	2.0430416982e-2
-156.6601317620373	3.0634626504e-2
-198.45023764124943	3.9947992384e-2
-240.24034352052809	4.3632850269e-2
-282.0304493998068	3.0962371122e-2
-323.8205552790189	4.1712220540e-2
-365.61066115829755	3.6134437186e-2
-407.4007670375762	4.0526605707e-2
-449.19087291678835	3.8247338508e-2
-490.98097879600044	2.8231333373e-2
-532.7710846752791	3.8812353626e-2
-574.5611905545577	4.8130564150e-2
-616.3512964337699	3.5113701766e-2
-658.1414023130485	2.6452082367e-2
-699.9315081923272	3.3614048178e-2
-741.7216140715393	3.6731589416e-2
-783.511719950818	4.4299337336e-2
-825.3018258300966	3.1320512367e-2
-867.0919317093088	3.6026432602e-2
-908.8820375885208	3.6381923872e-2
-950.672143467866	4.1412472362e-2
-992.4622493470116	3.1810420674e-2
-1034.2523552263567	3.3991267856e-2
-1076.042461105569	4.0932187665e-2
-1117.8325669848477	4.0430552435e-2
