data/epoch1_SB55237_J1832-09_askap_ds.tim.1	60286.291251713425002	60286.286944949219006	887.49074073999997836	-11.66507636097669062	30000047.323815725744	askap
data/o1.ULP.cal3.sub_ds.tim.1	60304.983557307409999	60304.978864062473939	2100	-24.513890877318576989	19002329.809504237026	atca
data/o1.ULP.cal3.sub_ds.tim.2	60305.014255955660001	60305.009562546430804	2100	-28.406094437976770313	18972903.73451115936	atca
data/o1.ULP.cal3.sub_ds.tim.3	60305.044954280390002	60305.040260701594935	2100	-32.326705690807722819	18947461.758383151144	atca
data/o1.ULP.cal3.sub_ds.tim.4	60305.075754874975001	60305.07106112015309	2100	-27.411759700044553327	18973512.180556677282	atca
data/o1.ULP.cal3.sub_ds.tim.5	60305.106449562874001	60305.101755626441438	2100	-31.647633820514241437	18974054.64754255116	atca
data/o1.ULP.cal3.sub_ds.tim.6	60305.13719057302	60305.132496448488041	2100	-31.881826427802292302	19067972.781415525824	atca
data/o1.ULP.cal3.sub_ds.tim.7	60305.16796647084	60305.163272152036203	2100	-29.102257300377873183	19019037.412437330931	atca
data/o1.ULP.cal3.sub_ds.tim.8	60305.198697568509999	60305.19400305032114	2100	-30.193862915663376434	18951165.230542588979	atca
data/o2.ULP.cal3.sub_ds.tim.1	60307.904099705804001	60307.899395783201768	2100	-33.48887620259249033	17435076.438333392143	atca
data/o2.ULP.cal3.sub_ds.tim.2	60307.935009121655	60307.930305199945895	2100	-19.15648694383991524	17470174.847134836018	atca
data/o2.ULP.cal3.sub_ds.tim.3	60307.965628463769999	60307.960924539981335	2100	-29.886725315651390001	17488309.984237026423	atca
data/o2.ULP.cal3.sub_ds.tim.4	60307.996339042504001	60307.991635112528407	2100	-32.7344746824182374	17584485.066586021334	atca
data/o2.ULP.cal3.sub_ds.tim.5	60308.027131133000001	60308.022427191769523	2100	-28.540045683721735652	17395011.427962049842	atca
data/o2.ULP.cal3.sub_ds.tim.6	60308.057874967315001	60308.053171009121744	2100	-28.515443885635081103	17389013.035404644907	atca
data/o2.ULP.cal3.sub_ds.tim.7	60308.088706714010002	60308.084002732653573	2100	-20.895748169381998183	18420351.785129252821	atca
data/o2.ULP.cal3.sub_ds.tim.8	60308.119347589109999	60308.114643578516247	2100	-29.767883068124561762	17406817.0522842668	atca
data/epoch2_sb58387_J1832-09_askap_ds.tim.1	60341.137377608306	60341.133539603342467	943.49074073999997836	-0.21886197012263137324	24741358.826556731015	askap
data/epoch2_sb58387_J1832-09_askap_ds.tim.2	60341.168153859435002	60341.164317461048103	943.49074073999997836	2.7468263631090094994	24741452.445833634585	askap
data/epoch2_sb58387_J1832-09_askap_ds.tim.3	60341.198891236329999	60341.195056436770919	943.49074073999997836	2.3531113806078251998	24741243.164131991565	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.1	60343.904216540663999	60343.900529771334813	943.49074073999997836	6.0220835278191007693	13721188.284865368158	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.2	60343.93496492673	60343.931279935047336	943.49074073999997836	6.5950108559361335188	13721665.230231629685	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.3	60343.965579186675001	60343.96189596118273	943.49074073999997836	-4.4215484797668591177	13721425.647773781791	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.4	60343.996277987149998	60343.992596527888796	943.49074073999997836	-8.1338025094111293138	13721358.092384027317	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.5	60344.0270747872	60344.023395094037294	943.49074073999997836	-3.3789047129933617109	13721329.408515818417	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.6	60344.057818730514999	60344.054140794014113	943.49074073999997836	-3.1916441496018837396	13721083.56813146174	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.7	60344.088518064140001	60344.084841875015393	943.49074073999997836	-6.8594630728741368339	13721123.716077283025	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.8	60344.119337345520002	60344.115662903778016	943.49074073999997836	-0.16379541596269589585	13720960.617550734431	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.9	60344.14994882245	60344.146276109795256	943.49074073999997836	-11.424012960257713716	13720978.420249586925	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.10	60344.180594832010001	60344.176923844433102	943.49074073999997836	-19.70095768417128596	13720963.896988216788	askap
data/epoch3_sb58609_J1832-09_askap_ds.tim.11	60344.211338715149999	60344.207669452985073	943.49074073999997836	-19.521596227658803669	13721135.190968060866	askap
data/epoch4_sb58753_J1832-09_askap_ds.tim.1	60346.886189148029999	60346.882677372689447	943.49074073999997836	8.1767494907701827088	24584756.506120469421	askap
data/epoch4_sb58753_J1832-09_askap_ds.tim.2	60346.916903814929999	60346.913393941506939	943.49074073999997836	5.8470778883462209046	24584537.031332701445	askap
data/epoch4_sb58753_J1832-09_askap_ds.tim.3	60346.947668150150001	60346.944160178346845	943.49074073999997836	7.8087234224166526117	24584559.597771819681	askap
data/epoch4_sb58753_J1832-09_askap_ds.tim.4	60346.978371107859999	60346.974865029320245	943.49074073999997836	4.4666300904116100585	24584538.473164357245	askap
data/epoch4_sb58753_J1832-09_askap_ds.tim.5	60347.009139441679999	60347.005635254880421	943.49074073999997836	6.7729010557782729383	24584536.111500453204	askap
data/epoch4_sb58753_J1832-09_askap_ds.tim.6	60347.039923570860001	60347.036421270478733	943.49074073999997836	10.4434313162208862	24584528.191339667886	askap
data/epoch4_sb58753_J1832-09_askap_ds.tim.7	60347.070643897496002	60347.06714347290373	943.49074073999997836	8.6005034021470097476	24584535.759184449911	askap
