#,Gl,Gb,DM,DIST,
143,136.271,0.500,141.00,2.717,
144,159.914,-40.140,31.00,2.796,
145,144.877,-15.322,48.26,1.853,
146,136.903,0.697,370.00,2.000,
147,137.767,-0.505,45.28,1.558,
148,153.881,-29.486,20.22,1.170,
149,269.862,-55.310,15.90,1.514,
150,150.915,-20.736,57.43,3.100,
151,158.436,-30.815,18.99,1.013,
152,161.135,-33.270,15.66,0.739,
153,167.463,-39.662,27.97,1.838,
154,131.704,14.224,6.34,0.386,
155,191.510,-52.378,20.50,0.817,
156,168.763,-36.040,12.90,0.367,
157,178.457,-43.605,25.98,1.328,
158,152.180,-14.338,26.19,0.940,
159,145.094,-3.480,115.46,2.290,
160,136.715,9.089,65.28,1.929,
161,168.499,-31.683,40.82,2.557,
162,144.995,-1.221,26.76,1.680,
163,150.348,-8.038,47.10,2.410,
164,138.383,8.588,66.73,1.907,
165,169.990,-30.039,21.32,1.300,
166,130.580,18.709,16.67,1.053,
167,153.783,-11.022,49.58,1.602,
168,144.371,1.546,101.00,2.037,
169,180.791,-36.929,46.00,3.774,
170,147.017,-1.428,67.30,1.705,
171,227.758,-52.338,20.20,1.594,
172,197.397,-45.333,30.90,1.507,
173,183.337,-36.774,40.46,2.100,
174,167.434,-23.384,62.96,3.745,
175,165.177,-19.444,48.68,1.789,
176,162.760,-16.006,,0.835,
177,149.099,-0.522,103.71,2.900,
178,156.112,-8.620,46.30,1.481,
179,148.190,0.811,57.10,1.000,
180,140.128,10.064,62.33,1.884,
181,148.231,0.883,,,
182,290.313,-35.907,21.70,1.014,
183,152.428,-3.177,85.20,1.844,
184,162.783,-13.678,53.60,1.655,
185,165.571,-16.338,49.37,1.641,
186,100.358,5.614,,,
187,144.025,7.046,65.41,4.200,
188,176.618,-25.656,35.59,1.337,
189,148.663,2.267,55.00,1.573,
190,148.663,2.267,63.80,1.661,
191,230.586,-46.671,9.20,0.415,
192,147.122,4.934,57.00,1.630,
193,166.112,-14.415,64.10,1.842,
194,145.154,7.489,70.80,1.845,
195,138.911,13.667,27.45,1.367,
196,163.219,-10.518,48.53,1.480,
197,145.299,7.540,70.14,1.837,
198,147.979,5.119,,,
199,141.525,11.536,77.56,2.205,
200,246.262,-45.682,24.32,2.519,
201,157.525,-4.494,71.00,1.687,
202,157.097,-3.720,,,
203,258.136,-44.386,,,
204,165.840,-11.921,77.02,1.939,
205,197.504,-34.757,44.61,2.197,
206,154.436,0.288,84.30,1.795,
207,171.842,-13.071,53.19,1.521,
208,253.395,-41.963,2.64,0.157,
209,175.883,-13.050,32.91,0.925,
210,202.072,-29.657,29.83,0.675,
211,228.347,-37.918,26.22,1.809,
212,282.286,-35.512,65.83,49.700,
213,211.075,-32.629,37.04,1.774,
214,278.410,-36.290,45.00,49.700,
215,217.078,-34.087,39.90,0.400,
