x,y
90,15.792241849553276
40,1.9205656053990328
120,1.9225383799682891
140,2.2115845077631167
220,84.12403641920326
210,169.3594991218963
210,96.11070801926519
210,106.37113835418735
210,154.54054376610785
220,85.76082934375272
220,100.65869432001566
200,118.45379731455989
210,121.16063542613595
220,119.64911922106087
220,147.876596074072
210,35.4772634955615
200,31.9808142314377
210,43.74075622106513
210,43.320697768009005
200,38.01771352576348
200,35.63412095569326
210,39.02467896922178
210,30.52292071266045
220,32.32645319089394
220,43.724054474862925
210,19.98305081917524
210,18.045772228633847
250,14.300645406843577
240,15.08724179884112
240,16.829137204732096
230,14.889943226330974
240,15.633956976991744
240,15.640786165712111
230,15.232985650039955
230,14.083269319200623
240,13.720785572485783
240,13.45151418958776
240,15.637673319866105
240,17.45493994414351
190,17.72587392368089
250,16.66325165797736
130,3.131155649783047
60,1.3825272296136981
30,0.8792617940606705
90,1.430878171836011
30,0.8368221086367931
10,1.0448756364693168
50,1.0976951625198126
60,1.3930529449135065
70,1.2954175360500813
50,1.3029422387480736
30,0.8566668229177594
100,0.9786312337964773
20,0.6927945977076888
30,1.417291497811675
60,1.0119948126375675
30,1.4365003556013107
60,1.281998025253415
60,1.32910549454391
60,1.226640298962593
50,0.920862989500165
20,0.934039743617177
50,0.8021493153646588
40,1.3192988187074661
60,1.2073159469291568
60,0.9137865342199802
60,1.1275425413623452
80,0.9333399133756757
70,0.8366862433031201
60,0.987623113207519
20,0.8521292869362139
10,0.8696358283973098
10,0.7401247925129355
30,1.1449305057388297
20,0.9259667659547471
